date,price
2010-01-01,79.4
2010-02-01,76.4
2010-03-01,81.2
2010-04-01,84.3
2010-05-01,73.7
2010-06-01,75.3
2010-07-01,76.8
2010-08-01,76.6
2010-09-01,75.2
2010-10-01,81.9
2010-11-01,84.1
2010-12-01,89.4
2011-01-01,91.4
2011-02-01,89.4
2011-03-01,102.9
2011-04-01,109.5
2011-05-01,101.3
2011-06-01,96.3
2011-07-01,97.2
2011-08-01,86.3
2011-09-01,85.5
2011-10-01,86.4
2011-11-01,97.2
2011-12-01,98.6
2012-01-01,102.2
2012-02-01,103.0
2012-03-01,106.2
2012-04-01,103.3
2012-05-01,94.6
2012-06-01,82.3
2012-07-01,87.9
2012-08-01,94.1
2012-09-01,94.5
2012-10-01,89.5
2012-11-01,86.5
2012-12-01,87.9
2013-01-01,94.8
2013-02-01,95.3
2013-03-01,92.9
2013-04-01,91.2
2013-05-01,94.9
2013-06-01,95.8
2013-07-01,104.7
2013-08-01,106.6
2013-09-01,106.3
2013-10-01,100.5
2013-11-01,93.9
2013-12-01,97.6
2014-01-01,94.6
2014-02-01,100.8
2014-03-01,100.8
2014-04-01,102.6
2014-05-01,102.2
2014-06-01,105.8
2014-07-01,103.6
2014-08-01,96.5
2014-09-01,93.2
2014-10-01,84.4
2014-11-01,75.8
2014-12-01,59.3
2015-01-01,47.2
2015-02-01,50.6
2015-03-01,47.8
2015-04-01,54.4
2015-05-01,59.3
2015-06-01,59.8
2015-07-01,50.9
2015-08-01,42.9
2015-09-01,45.5
2015-10-01,46.5
2015-11-01,42.4
2015-12-01,37.2
2016-01-01,31.7
2016-02-01,30.3
2016-03-01,37.9
2016-04-01,40.8
2016-05-01,46.7
2016-06-01,48.8
2016-07-01,44.7
2016-08-01,44.7
2016-09-01,45.2
2016-10-01,49.8
2016-11-01,45.7
2016-12-01,52.4
2017-01-01,52.6
2017-02-01,53.4
2017-03-01,49.6
2017-04-01,52.9
2017-05-01,48.5
2017-06-01,45.2
2017-07-01,46.8
2017-08-01,47.9
2017-09-01,51.6
2017-10-01,51.6
2017-11-01,56.6
2017-12-01,57.9
2018-01-01,63.7
2018-02-01,62.2
2018-03-01,62.7
2018-04-01,66.3
2018-05-01,71.4
2018-06-01,67.9
2018-07-01,70.5
2018-08-01,68.7
2018-09-01,70.2
2018-10-01,70.8
2018-11-01,56.8
2018-12-01,49.5
2019-01-01,51.6
2019-02-01,54.0
2019-03-01,58.2
2019-04-01,63.9
2019-05-01,60.8
2019-06-01,54.6
2019-07-01,57.4
2019-08-01,54.8
2019-09-01,56.8
2019-10-01,53.8
2019-11-01,57.0
2019-12-01,61.2
2020-01-01,57.5
2020-02-01,50.5
2020-03-01,29.2
2020-04-01,16.6
2020-05-01,28.6
2020-06-01,38.3
2020-07-01,40.7
2020-08-01,42.3
2020-09-01,39.6
2020-10-01,39.5
2020-11-01,41.7
2020-12-01,47.6
2021-01-01,52.2
2021-02-01,59.0
2021-03-01,61.4
2021-04-01,61.7
2021-05-01,65.2
2021-06-01,72.9
2021-07-01,73.6
2021-08-01,68.5
2021-09-01,72.0
2021-10-01,82.8
2021-11-01,80.6
2021-12-01,73.4
2022-01-01,83.2
2022-02-01,91.6
2022-03-01,108.7
2022-04-01,101.8
2022-05-01,109.5
2022-06-01,114.8
2022-07-01,101.8
2022-08-01,91.6
2022-09-01,83.8
2022-10-01,85.6
2022-11-01,82.9
2022-12-01,76.4
2023-01-01,77.9
2023-02-01,76.9
2023-03-01,72.9
2023-04-01,79.4
2023-05-01,71.6
2023-06-01,70.2
2023-07-01,76.9
2023-08-01,82.3
2023-09-01,89.3
2023-10-01,85.5
2023-11-01,77.5
2023-12-01,71.7
2024-01-01,73.8
2024-02-01,76.9
2024-03-01,80.5
2024-04-01,85.0
2024-05-01,79.8
2024-06-01,82.3
2024-07-01,76.4
2024-08-01,73.7
2024-09-01,68.2
2024-10-01,70.5
2024-11-01,69.1
2024-12-01,69.8
